Question 1: Explain the differences between Conduction and Convection,Score
"Conduction does not require the flow of material, where heat is conducted from one area to another. Convection involves a fluid or gas gaining heat, expanding, becoming less dense and rising, causing cooler denser fluids or gases to come down, forming a convection current and thus involving the flow of materials. Convection only works on liquids or gases, but conduction works on all 3 states of matter.",2
"There is no net movement of particles when conduction happens while in convection there is a movement of particles. Also, conduction can happen in solids, liquids and gases but convection can only happen in fluids ( gases and liquids).",1
"Convection requires the movement of fluids caused by the lowering of density of fluids near heat source due to heat gain and thus increase in volume leading to lower density. Then, the cooler fluids at the top drift downwards towards the heat source. However, conduction does not require the movement of fluids and only heat transfer via a medium is required.",0
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium, while convection is the transfer of thermal energy through convection currents. Conduction occurs in solids, liquids and gases, while convection only occurs in liquids and gases.",1
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium.Convection is the transfer of energy by means of a convection currents in a fluid due to different density.

Conduction occurs in all states of matter while convection occurs only in liquids and gases.",1
"Conduction has no net movement of particles when energy is transferred to neighbouring particles while convection has particles moving throughout the convection current.

Conduction can occur in all three states of matter; solid, liquid, and gas while convection can only occur in liquids and gases.

",1
"Conduction can occur in solids, liquids, based and all states of matter which are made of particles but convection can only occur in liquids and gases not solids.

Conduction transfers heat from a region of higher thermal energy to a region of lower thermal energy but convectional current moves from a region of higher thermal energy to a region of the lower thermal energy, and back from a region of a lower thermal energy to a region of higher thermal energy in one cycle.",1
"Conduction occurs in solid, liquid and gases, or all states of matter, while convection only occurs in fluids.

Conduction does not require any flow of the material while convection occurs due to density of the fluid.",1
"Convection does not occur in solids (only in liquids and gases) while conduction occurs in all 3 states.

Conduction does not involve flow of material medium while convection requires the flow of convection currents in the medium.",1
Conduction occurs in all states of matter while convection only occurs in liquids and gases. Conduction does not involve the flow of any material medium while convection does.,1
"Conduction is the transfer of thermal energy from my one place to another without any flow of material. However, convection is the transfer of thermal energy by means of convection currents, which require some flow of material.",0
Conduction takes place even without the flow of the material medium and occurs in all states of matter. Whereas convection takes place by means of convection currents and can only take place in liquids and gases,1
"Conduction is transferring heat From a substance to another substance by contact, while convection is the movement of heat energy by movement of a fluid. Conduction can happen through solids while convection can happen in both liquids and gases",0
Conduction is a one way cycle from a region of higher temperature to a region of a lower temperature while convention is a cycle involving the density of the fluid and does not involve regions of higher to lower temperature.,0
"conduction is the transfer of thermal energy from one place to another and occurs in solid gas and liquids. Convection is the transfer of thermal energy by convection currents and only occurs in liquids and gases.



",1
"Conduction is the transfer of thermal energy in medium without the flow of the medium but convection is the transfers of heat energy of fluids of gas and liquids

The is no net movement of particles for conduction but fluids move in convection.",0
"Conduction occurs in all matter, but convection only occur in fluids.

Conduction does not require the movement of particled but convection requires the rising of hotter particles.",1
"Conduction is the transfer of heat from the hotter object to the colder object, while convection is the transfer of heat through a medium without any flow in the material. Conduction occurs in all states of matter but convection only occurs in gases.",0
"Conduction can take place through a solid, liquid and a gas, but convection can only take place through a liquid and a gas, not a solid. When conduction takes place, there is no net movement between particles, but there is net movement between particles when convection takes place.",1
"Conduction is the vibration and collision of particles transferring kinetic energy to neighbouring particles, thus transferring heat energy, and a medium with particles is required for conduction to occur. Convection is a cycle, where hot, less dense air rises and cooler denser air sinks. This cycle repeats until the average kinetic energy of all the particles become constant. Convection current can be set up with the emittance of radiation from a source.",0
"Conduction is the transfer of heat directly from a region of higher temperature to a region of lower temperature, while convection is the indirect transfer of heat from a region of higher temperature to that of lower temperature with the help of a medium like water or air.",0
Conduction requires a medium to occur while Radiation does not require a medium.,0
"Conduction happens when heat is directly transfered from one object to another when the molecules vibrate and hit each other. Convection happens when a substance around another substance is heated through conduction and rises upwards due to the decrease in density, letting the cooler substance above sink and replace the heated substance, conducting heat away from the hot substance",2
"Conduction is the transfer of heat by vibration and collision of atoms and molecules, or movement of electrons that collide with other electrons or particles, which transfers kinetic energy. Whereas convection is the transfer of heat by convection currents in a fluid, where hot liquids move towards cold liquids and cold liquids move towards hot liquids.",0
"Conduction is the transfer of heat via the transfer of kinetic energy between particles vibrating in place, and can take place in any state, while convection occurs via the formation of a convective current caused by a density differential, and can only take place in liquids and gases.",2
"Convection can only happen in the solid and liquid states, but conduction can happen in the solid, liquid and gaseous states. Conduction does not require the movement of the two mediums, but convection does.",1
"Conduction occurs due to a temperature difference in two substances, which results in heat conducted from the region of higher temperature to a region of a lower temperature when the two substances' atoms and molecules are in direct contact.

This differs from convection where convection occurs due to a density difference between two substances.



Conduction occurs in all solids, liquids, gases while convection only takes place in liquids and gases.",1
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium. Conduction occurs in all states of matter.

On the other hand, convection is the transfer of thermal energy by means of convection currents in a fluid (liquid or gas) due to the difference in density.

In summary, conduction occurs in all states of matter while convection occurs only in liquids and gases.",2
"Conduction is the direct transfer of heat from one medium to another through the heat energy that converts to kinetic energy and causing other particles to vibrate and thus tranfer the heat energy from one place to another.

Convection occurs when a substance has different temperatures. The hot substance will rise as it has a lower density while the cold substance will sink as it is denser.",0
"conduction transfers thermal energy via physical contact and heat can be conducted in solids, gases, and liquids. On the other hand, convection transfers thermal energy only in fluids, liquids and gases only, via hot areas rising, cooling down and then falling.",1
Conduction can occur in a medium of any state of matter whereas convection required the medium of heat transfer to be a fluid (a liquid or a gas).,1
Conduction requires two or more mediums while convection on requires one medium.,0
"Conduction occurs in solids, liquids and gases and is the transfer of heat from a region with higher temperature to a region of lower temperature while convection can only occur in liquids and gases by transferring heat through convection currents.",1
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium. The objects in question must be touching in order for conduction to occur. Conduction can occur between solids, liquids and gases.

Convection is the transfer of thermal energy by means of convection currents in a liquid or a gas (fluids). Convection currents are the movement of hot fluids toward colder fluid and the reverse of movement of cold fluid towards hot fluid. Convection cannot occur in solids as there are no free moving particles to allow for convection currents.",0
"in conduction, the transfer of heat is through heated solid substance whereas in convection transfer of heat is through liquid or gas.",0
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium. Conduction occurs in solid, liquid and gases, or all states of matter.

However, convection is the transfer of thermal energy by means of convection currents in a fluid (gas or liquid), due to difference in density in two parts of the fluid, unlike conduction. Convection only occurs in liquids and gases because their particles are able to move freely compared to a solid, which is unlike conduction. Convection currents are the movement of hot fluid towards cold fluid and the reverse of movement of cold fluid towards the hot fluid, unlike conduction.",2
"Conduction is when heat energy is transferred from one object to another object in contact with it. The thermal energy can only travel from a warmer object to a cooler object, and conduction can happen in all three states of matter.



Convection is when hot fluid rises and cold fluid descends to displace it. Convection can only happen in fluids, like gases or liquids.",1
"Conduction is direct heat transfer via free moving electrons and ions, and can occur across all states of matter. Convection only occurs in fluids (gases and liquids), and occurs when the fluid being heated expands, becomes less dense, and rises up.",1
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium. Conduction occurs in solid, liquid and gases.

Convection is the transfer of thermal energy by means of convection currents in a fluid due to difference in density. Convection only occur in gas or liquid.",2
Conduction is the transfer of thermal energy from one place to another without any flow of the material medium while convection is the transfer of thermal energy by means of convection currents in a fluid due to density difference. Conduction occurs in all states of matter while convection only occurs in fluids because their particles are able to move freely.,2
Conduction is the transfer of heat energy by direct contact while convectionis the movement of heat by motion of matter.,0
"Conduction is the flow of heat through a certain substance when there is a difference in the temperatures between one point and another. Convection is the flow of heat currents, namely, when air becomes warm and becomes less dense it rises up, while cold air is denser and sinks.",0
"Conduction can occur in any state of matter, whereas convection can only occur in fluids like liquids and gases. Convection can occur in only 1 medium but since conduction is the transfer of heat from medium to medium, at least 2 mediums are needed for conduction to occur.",1
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium. Conduction occurs in solids, liquids and gases. Convection is the transfer of thermal energy by means of convection currents in a fluid due to a difference in density. As fluid in this context means gas or liquid, convection does not occur in solids, and only in gases and liquids.

Conduction occurs in solids, liquids and gases while convection only occurs in liquids and gases. Conduction happens without any flow of the material medium while convection occurs through the movement of convection currents in a fluid due to a difference in density.",2
"Conduction is the transfer of thermal energy via direct contact from a region of higher temperature to a region of lower temperature. This can take place in all states of matter. However, convection is the transfer of thermal energy by means of actual movement via convection currents whereby hot fluid move towards cold fluid and cold fluid moves in the opposite direction towards hot fluid. Convection also can only take place in fluids but not solids.",1
"Conduction is the transfer of thermal energy without any flow of the material medium. On the other hand, convection is the transfer of thermal energy by means of convection currents in a fluid due to a difference in density.



In addition, conduction occurs in solid, liquid and gases, or all states of matter, while convection only occurs in liquids and gases (fluids).",2
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium. It occurs in all states of matter. However, Convection is the transfer of thermal energy by means of convection currents in a fluid due t difference in density. It occurs in only liquids and gases.",2
"In convection, it is the transfer of thermal energy by convection currents in a fluid such as gas and liquids. However, in conduction. heat can be transferedthrough solids and can transfer heat from one place to another without any flow of the material medium.",1
Conduction is the transfer of thermal energy from one place to another without any flow of the material medium whereas convection is the transfer of thermal energy by means of convection currents in a fluid due to difference in density.,1
"Conduction requires physical contact for the process of thermal energy to be transferred from a body to another.

Convection is the process when a fluid or gas above a hot surface gains thermal energy, expands, which causes its density to decrease and make it rise.",0
"Conduction is the transfer of heat energy by direct contact. However, Convectionis the movement of heat by actual motion of matter.",0
Convection occurs through an intermediate medium while conduction occurs by a solid substance,0
"Conduction is the transfer of heat energy by direct contact but convectionis the movement of heat by actual motion of matter. Conduction is when objects have to be in direct contact in order for heat to be transferred between objects. However, convection is the transfer of heat energy through a convection current in a fluid due to difference in density. Conduction can occur is all states of matter but convection only occurs in liquids and gases.",1
"Conduction occurs in all states of matter, as it is the transfer of thermal energy from one place to another without any flow of the material medium. Convection, however, occurs only in liquids and gases, as it is the transfer of thermal energy by means of convection currents in a fluid, due to difference in density.",2
"Conduction occurs mostly in solids while convection occurs mostly in liquids and gases.

Conduction occurs due to heated particles vibrating quickly and colliding with other particles, causing them to heat up.

Convection occurs when liquids or gases are heated up, resulting in a higher volume than before, resulting in the density to change, and thus rise or fall.",1
"Conduction occurs in all states of matter, while convection occurs in fluids (gas or liquid)

Conduction is the transfer of thermal energy from one place to another without any flow of the material medium. Convection is the transfer of thermal energy by means of convection currents.",1
Conduction is a slow process while convection is faster. Conduction is the transfer of thermal energy from one place to another without any flow of the material medium while convection is the transfer of thermal enerdy by means of convection currents in a fluid due to difference in density.,1
"Conduction occurs when the heat energy is transferred from one object to another, through the transfer of kinetic energy of the particles in an object. Convection occurs when a hot fluid expands and becomes less dense, rising up and therefore causing cooler fluids to sink to the bottom.",1
"Conduction is the transfer of heat from one place to another without the movement of the medium and can occur in all states of matter. As one place is heated, the heat energy will be converted to kinetic energy, causing the particles to vibrate faster and thus collide more often with surrounding particles, resulting in the transfer of heat energy from one particle to the other. Convection on the other hand, is the transfer of heat from one place to another via convection currents, or the movement of gases or liquids due to differences in densities. When the bottom of the medium is heated, the space between the particles will expand, causing the density to decrease and the volume to increase. As such, that part of medium will rise to the top while the cooler, denser parts will sink to the bottom to be heated, causing a convection current to be formed.",2
"Conduction happens in solids while convection happens in liquids and gases.

Conduction is the transfer of heat while convection is the movement of heat",0
"Conduction is the process in which thermal energy is transferred through a medium when the particles in the medium collide.

Convection is when a fluid is heated, causing the particles to vibrate faster and move further apart. The density of the fluid decreases, causing the fluid to rise, carrying the thermal energy along with it.",1
"Conduction is the transfer of energy in the form of heat from one atom to another within an object by directcontact, while convection isthe transfer of thermal energy from one place to another by means of bulk fluid movement in the material medium.",0
"Conduction occurs when a hotter object loses heat to a cooler object when they are placed together. It is the movement of heat through colliding molecules. Meanwhile, convection is hot air becoming less dense and rise, while denser cooler air take its place.",0
"Conduction does not need the flow of a medium as the transfer of thermal energy from one place to another does no require any flow of a material medium, while convection does require the flow of a material medium as the transfer of thermal energy occurs by a convection current in a fluid.",0
"conduction is the transfer of heat energy from a region of higher temperature to a region of lower temperature through the interaction of adjacent particles.



convection is the circular movement of gas or liquid particles when the gas or liquid is heated.",0
"Conduction requires direct contact in order for heat to be transfered, while convection is the movement of heat. The reason why direct contact is required for heat to be transferred for conduction is beacause the particles would gain heat and vibrate faster, the particles would then collide with other particles and cause the other particles to vibrate faster and gain heat. However, convection is where the hot particles gain heat and rise, other cooler particles would then have to replace the displaced hot particles, the cooler particles would then gain heat and rise, forming a convection current.",0
"Conduction occurs when heat from the warmer region is lost to the particles of the cooler region, which will gain kinetic energy and vibrate faster, colliding into the particles around them. When this process is repeated several times, conduction occurs.



Convection occurs when heated air or liquid (which has a greater volume and lower density) rises to the surface, causing the cooler air/liquid to sink to the bottom. This cooler air/liquid when then gain heat from the object at the bottom and the current of convection will be repeated.",o
"Conduction is the process of heat transfer through particles gaining heat and vibrating faster and colliding with neighbouring particles but convection is the process of heat transfer through particles with more thermal energy becoming less dense and rising, while cooler particles becoming denser and sinking, forming a convection current.",1
"Conduction only happens between 2 mediums

Convection happens between liquid and gas only

Radiation does not require a medium to happen

",0
"Conduction is the transfer of heat between objects that are directly in contact with each other, while convection refers to the transfer of heat within a fluid. Convection is also a faster process than conduction and occurs due to a difference in density.",0
"Conduction is the transfer of heat from one medium to another while convection is the process of hotter and denser particles rising while cooler and less dense particles sinking

",0
"Conduction is the transfer of heat energy by direct contact, while convection is the movement of heat through the motion of a liquid.",0
Conduction is the transfer of heat particles while convection is the movement of heat particles.,0
Conduction is the transfer of heat from a hotter medium to a colder medium via direct contact. Whereas convection is the transfer of heat via movement of particles.,0
Conduction is the transfer of thermal energy from one place to another place without the use of a medium while convection requires a medium for heat to flow from one place to the other place.,0
"conduction is transfer of heat from one part of an object to another connected part

convection is transfer of heat by fluids",0
Conduction can occur in all states of matter but convection can only occur in fluids.,1
"Conduction is the transfer of heat through particles when they collide.

Convection is the transfer of heat in a convection current, where air or liquid gains heat from a heat source and rises as it becomes less dense, letting colder air or liquid go closer to the heat source to be heated.",1
"conduction is the transfer of heat between molecules from a region with more energy to a region of lower energy, while convection is the transfer of heat via a convection current.",0
Conduction is a process which transfer of heat takes place between the heat sink and computer chip due to temperature difference. The heat is carried out by the surrounding air by convection. ,0
Conduction is a very slow process while convection takes place quickly,0
Conduction is the transfer of heat from one place to another without any flow of the material medium and can take place in solids. liquids and gases. Convection is the transfer of heat through the movement of hot fluid towards cold fluid and vice versa in a gas or liquid only.,2
"When conduction occurs, heat is transferred by direct contact from one molecule to the other, by the molecules colliding with each other. During convection, the warmer liquid/ gas that is closest to the heat source, and much warmer than the air above it, rises, as it is less dense. The cooler liquid/gas above it sinks to take up the open space left by the warm air that has risen, and thus the heat is convected away from the source.",0
Conduction is the transfer of thermal energy from one region to another region without movement of the material medium and occurs in all states of matter while convection is the transfer of thermal energy by convection currents due to density differences and occur only in liquids and gases.,2
"Conduction is when a solid and sometimes liquid, lose or gain heat when two objects of different temperatures are in contact with each other. Convection only takes place in liquids and sometimes gases when a convection current is set up.",0
Comvection can only occur when there is a current but conduction does not require a current.,0
"Conduction happens the most effectively in solids (metals to be specific) whereas convection can only occur in fluids.

Conduction uses the concept of the transfer of heat from a hotter region to a cooler region, whereas convection uses the concept of differences in density of fluids.",0
"In terms of conduction, heat is transferred from the warmer region, the computer chip, to the cooler region, the heat sink.



In terms of convection, the air within the heat sink will become less dense compared to the surrounding air and thus it will rise, causing cooler air with a comparatively lower density to sink and gain heat from the heat sink, which gains heat from the computer chip. This creates a convection current.",0
"Conduction occurs in all states of matter, but convection only occurs in fluids, such as liquids and gases. Heat is transferred by conduction when the particles gain energy and vibrate, colliding with surrounding particles, where the process is repeated throughout the object, while convection occurs when the hotter ,less dense particles rise and colder, denser particles sink, thus resulting in a convection current and transferring heat in this manner.",2
"Conduction is the transfer of thermal energy from one place to another without any flow of the medium, whereas, Convection is the transfer of thermal energy by means of convection currents in a gas or liquid due to difference in density.",1
"Convection uses convection currents which requires a fluid to transfer heat while conduction uses molecular interaction or free electron diffusion, both of which do not require a fluid to transfer heat. therefore the difference is that convection can only occur in liquids and gases as they are both fluids while conduction can occur in solid, liquid or gas.",1
"Conduction is a process by which heat is transferred through the collision of atoms in different objects, and convection is a process by which particles fluids gain heat, expand and become less dense and rise, while the denser particles sink to the bottom, gain heat, expand and become less dense and rise. Also, convection happens in only fluids (i.e liquids and gases) while conduction happens in any medium.",1
"Conduction is the transfer of heat energy by direct contact and the vibration of particles through a medium of either solid, liquid or gas, but convection is the movement of heat by actual motion of liquid or gas only.",1
Conduction occurs in all matter while convection only occur in liquids and solids with no definite shape.,0
Conduction is the transfer of heat energy through molecule direct contact. Mean while convection is the transfer of heat energy through actual matter,0
Conduction occurs at a slower rate than convection does. Convection requires the movement of substances while conduction does not. Convection only takes place in fluids while conduction takes place in all states of matter.,1
Conduction is the transfer of heat energy by direct contact while convection is the movement of heat by actual motion of matter.,0
"conduction is a process in which a heat is being transferred from something with high thermal energy to something that has low thermal energy, while convection is a process in which higher temperature liquid or gaseous state rise due to lower density, while lower temperature liquid or gas takes its place due to lower density, forming a convection current.as",0
"Conduction can occur in solids, liquids and gases and is the transfer of thermal energy via collision of particles travelling at different speeds in a medium which repeats along the length of the medium until thermal equilibrium is reached while convection can only occur in liquids and gases is the transfer of thermal energy via continuous net movement of particles within the medium in which warmer liquid or gas rises and colder liquid or gas sinks. This process repeats until thermal equilibrium is reached.",1
"Both conduction and convection require mediums for them to take place. However, conduction happens due the the transfer of energy between particles near one another while convection happens when the particles move around in a current. Furthermore, conduction can occur in solids, liquids, or gases, while convection can only occur in liquids and gases.",1
"Conduction occurs in solids while convection occurs in fluids such as liquids and gases. Conduction is the transfer of heat without movement of the medium. However, convection is the transfer of heat through the movement of the medium. In conduction, particles in a solid gain energy and vibrate faster. They collide with neighbouring particles and transfer the heat. In convection, particles near the heat source gain energy, and become less dense, causing them to rise. The cooler particles then are denser and sink to the bottom to be heated. This sets up a convection current.",1
"Conduction will occur in all three states of matter, solid, liquid and gases. Convection will only occur in fluids (gas and liquid).

Conduction is the transfer of thermal energy from one place to another without any flow of the material medium. Convection is the transfer of thermal energy by means of convection currents, which is the movement of hot fluid towards cold fluid and the reverse of movement of cold fluid towards the hot fluid, in a fluid due to density.",1
Heat can transfer via conduction but not convection in a vacuum as there is no medium particles in a vacuum.,0
"Conduction usually occurs in solids, and is a slow process.

Convection happens in fluids (liquids, gases) and is a faster process.",0
"Conduction is when heat travels from a region with a higher temperature to a region with a lower temperature in solids while convection allows particles in fluids to gain heat and those with less heat to repeat this process, resulting in the heat source losing heat. Conduction is to spread the heat in a medium while convection is to help the heat source lose heat.",0
"Heat is lost by conduction from the computer chip to the heat sink effectively since the heat sink is made of metal which conducts heat well. The particles in the computer chip vibrate when heat is generated, the particles from the computer chip then collide with the particles in the heat sink thus losing heat to it.

Heat is lost by the computer chip to the heat sink through convection when the less dense hest from the computer chip rises to the denser and cooler heat sink. This creates a convection current. Thus heat from the computer chip is lost to the heat sink by conduction.

Heat is lost to the heat sink by the computer chip through radiation effectively as the heat sink is black which absorbs heat the best compared to other colours, thus heat is lost by the computer chip to the heat sink.",0
Conduction can occur through any states except in a vacuum. Convection can only occur in gases and liquids however.,1
"Conduction is the transfer of heat without movement of the medium, when particles gain heat energy and vibrate faster. These heated particles collide with neighbouring particles, and the process is repeated throughout the material, transferring heat by conduction. Conduction happens in all types of matter.



Convection is the transfer of heat through movement of medium. When particles near the heat source gain heat, they expand becoming less dense and rise. Cooler, more dense particles will sink to the bottom, setting up a convection current. Convection only happens in fluids.

",2
"Conduction is the transfer of heat when the particles collide with one another, passing on the energy. Convection is the heat gained which causes liquids or gas to become less dense and rise, while other cooler liquids or gases can take the place of the hotter gas or liquid. This process is then repeated which causes a convection current.",1
"In conduction, particles at one end of the solid gains heat and vibrates faster. Since the particles are closely packed together, the particles next to the particles being heated are also vibrating faster. This process is repeated throughout the solid. In convection, the particles at the bottom in a fluid gains heat and becomes less dense. These particles then rise, and the particles which are more denser will then sink. The particles that sink will be heated up, and this process is repeated, creating a convection current.",1
Conduction can occur in all states of matter while convection can only occur in gases and liquids.,1
"Conduction is the transfer of heat by direct contact, while convection is the transfer of heat by the movement from warm air to cool air",0
conduction takes place only with direct contact and convection is the movement of heat by the motion of matter,0
"Conduction is the transfer of heat energy by direct contact, but convection isthe movement of heat by motion of matter.",0
"Conduction is the transfer of thermal energy by direct contact of the mediums or molecules in the medium without the medium moving whereas convectionis the transfer of thermal energy by convection currents involving actual motion of the medium. Conduction takes place in solid, liquid and gas but convection takes place in only liquid and gas.",1
"Convection is the process of the hot air moving up and the cool air moving downwardsand gaining heat to do the same again and again. However, conduction is the transfer of heat until the temperature is equal.",0
"Conduction is when molecules transfer kinetic energy to another molecule near them by vibrating quickly. It can occur in solids, liquids and gases.

Convection can only occur in a fluid i.e. a liquid or a gas. During convection, heat is transferred by the formation of a convection current, where heated fluid rises while cooler fluid flows downwards towards the heat source and gets heated in turn.",1
"Conduction is the transfer of heat between solids by direct contact because of temperature difference through molecular collisions while convection refers to the transfer of thermal energy by means of convection currents in a fluid due to the difference in density. While conduction occurs in all states of matter, convection only occurs in fluids because their particles are able to move freely. Conduction thus also does not involve any flow of the material medium while convection does involve the fluid moving due to the difference in temperature of the fluid and density.",1
Conduction relies on the transference of heat through the vibrations of molecules. Convection relies on the difference in densities between molecules that is created by the heat source.,0
"Conduction is the transfer of heat through the particles of matter only in the solid state, through collision of the particles of the matter and occurs due to a difference in temperature. However, convection only occurs in fluids, through the actual flow of matter and occurs due to differences in density.",0
Conduction is the process where the transfer of heat takes place between objects in direct contact while convection refers to heat transfer which occurs within the fluid.,0
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium and occurs in all states of matter. Convection however is the transfer of thermal energy by means of convection currents in a fluid due due difference in density. Therefore, there is flow of the material medium and it also only occurs in liquids and gases as their particles are able to move freely. These are the differences between conduction and convection.",2
"conduction is the transfer of thermal energy from one place to another without any flow of the material medium, whereas convection is the transfer of thermal energy via means of convection currents in a fluid due to a difference in density. conduction takes place in all states of matter while convection only occurs in fluid mediums like liquid and gas.",2
"Conduction is when thermal energy is transferred among molecules of the medium and relies on the vibration of molecules for heat to be transferred, while convection is reliant on convection currents due to the different densities of molecules of different temperatures.

Conduction occurs in all mediums, while convection only occurs in liquids and gases.

",1
"Conduction refers to the transfer of thermal energy from the computer chip to the heat sink, without any flow of the material medium, to keep the computer chip cool. When heated, the particles gain kinetic energy and vibrate faster, and thus energy is transferred to the neighboring particles. Whereas in convection, thermal energy is transferred through convection currents in the surrounding air, due to difference in density, as air particles are able to move freely. Air around the heated computer chip is heated, expands, become less dense and rises. Cooler, denser surrounding air on top sinks to replace the heated air. A convection current is set up and the computer chip is cooled down.",1
"Both conduction and convection require a medium to take place. However, convection can only happen in fluids (Liquids and gases) while conduction can happen so long the medium is not a vacuum. Heat is transferred in convection via convection currents, which are formed by the hotter substance rising since it has a lower density and the cooler substance falling. However, for conduction, heat is transferred by the particles of the substance bumping into each other and gaining kinetic energy, causing the substance to heat up.",2
"Conduction is the direct transfer of heat via physical contact while convection is the movement of a fluid gaining heat, expanding and rising while forcing cooler air down, which cools the object down faster due to a greater temperature differential.",0
Conduction happens in all three states of matter whereas convection only happens in fluids. Conduction happens when an object is in direct contact with the heat source whereas convection happenens by the means of a convection current.,1
"Conduction is a process in which heat is transferred through a matter. This occurs when vibrating molecules collide with neighboring molecules, causing them to vibrate too, and as this chain of reaction occurs, thermal energy is transported through the matter.

Convection is a process of heat transfer that only occurs through fluids. When the substance is heated, it gets less dense and rises in the fluid, displacing the cooler substance at the top of the fluid. As such, the denser cooler substance sinks and the process repeats.",0
"Conduction is the transfer of heat through a solid medium via molecular collision whereas convection is the transfer of heat through a gaseous or liquid medium due to particles closer to the heat source gaining heat and expanding, thus causing their density to decrease and rise upwards. This creates a convection current around the heat source, thus causing the objects around the particles to gain heat via convection.",0
"Conduction occurs in solids liquids and gases and there is no flow of the material medium. However, convection only occurs in liquids and gases and there is a flow of the material medium.",1
"Conduction is the transfer of heat without any flow of the material medium, and it occurs in all states of matter. Solids are the best conductors, followed by liquids and gases. This is because solid particles are closely packed (based on kinetic theory model), so heat can be transferred more quickly. However, convection is the transfer of heat via convection currents in a fluid (gas/liquid) due to density differences. It only occurs in fluids as fluid particles are able to move freely, but not solid particles (based on kinetic theory model).",2
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium and can occur in solids, liquids, or gases. Convection is the transfer of thermal energy by means of convection currents in a gas or liquid due to a difference in density.",2
"Conduction is heat transfer through or between two solids which involves heat transfer by the molecules or atoms in the solids transferring heat by physical contact of the particles with each other, while convection is heat transfer in liquids and gases by the physical movement of the substance, where the warmer part of the fluid rises to the top and the cooler part moves to the bottom to gain heat.",0
"Conduction occurs when thermal energy is transferred from one place to another through the vibration and collision of atoms and molecules, transferring kinetic energy to neighboring particles and making them vibrate faster. This known as molecular interaction. Thermal energy can also be transferred by conduction through free electron diffusion, in which electrons, being lighter, move faster and randomly between bigger particles, colliding with them to transfer more kinetic energy faster. Hence, conduction is able to occur in solids, liquids and gases.

On the other hand, convection occurs when thermal energy is transferred by means of convection currents in a fluid. A convection current is the rising of hotter, less dense fluids upwards and the sinking of cooler, denser fluid to take its place. Hence, convection only able to occur in liquids in gases.",0
"Conduction happens in solids, liquids and gases while convection only happens in liquids and gases. Conduction involves the particles colliding into each other but convection involves convection currents due to different densities of the medium within different parts of it.",1
"Conduction occurs in all states states of matter, solid, liquid and gas. However, convection only happens in fluids such as liquid and air.",1
Conduction is the transfer of heat by collisions of particles at the microscopic level. Convection is the transfer of heat by movement of fluids.,0
,
"Conduction is the process of heat transfer when two objects are in direct contact, owing to the difference in net kinetic energy between the particles in the objects. Convection is the process of heat transfer between objects in fluid states of matter (i.e. liquids or gases) where a convection current is formed due to the particles rising/sinking (because of differences in density).",0
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium by the collision of particles and it occurs in solids, liquids and gases, while convection is the transfer of thermal energy by convection currents due to the difference in density and it only occurs in fluids, which are liquids and gases.",2
